state,year,so2,no2,rspm,spm,pm2_5
Bihar,1992.0,29.445454545454545,37.199999999999996,,266.1818181818182,
Bihar,1993.0,26.53478260869565,42.35217391304348,,343.0,
Bihar,1994.0,31.231914893617024,45.661702127659574,,291.72340425531917,
Bihar,1995.0,29.464583333333334,38.87083333333333,,348.7291666666667,
Bihar,1996.0,36.01864406779661,40.686440677966104,,350.728813559322,
Bihar,1997.0,35.154216867469884,44.22289156626506,,264.31325301204816,
Bihar,1998.0,45.935135135135134,43.6972972972973,,291.5135135135135,
Bihar,1999.0,52.654999999999994,42.566250000000004,,285.0625,
Bihar,2000.0,26.65421686746988,26.49397590361446,,284.3975903614458,
Bihar,2001.0,23.37283950617284,35.648148148148145,,297.08641975308643,
Bihar,2002.0,24.355072463768117,43.291304347826085,,260.43835616438355,
Bihar,2004.0,11.542713567839195,24.92964824120603,79.82142857142857,156.00502512562815,
Bihar,2005.0,12.279104477611941,34.07017543859649,103.38805970149254,266.97014925373134,
Bihar,2006.0,9.984523809523811,39.44378698224852,111.0828402366864,292.11242603550295,
Bihar,2007.0,9.745197740112994,41.575,116.36216216216216,294.86486486486484,
Bihar,2008.0,6.864485981308412,38.31181818181818,118.65441176470588,300.71223021582733,
Bihar,2009.0,4.708695652173913,32.61746031746032,98.4776119402985,267.8333333333333,
Bihar,2010.0,6.488,36.11678832116788,165.28057553956833,,
Bihar,2011.0,4.25,35.734375,158.03030303030303,,
Bihar,2012.0,6.0732984293193715,34.15584415584416,161.66390041493776,,
Chandigarh,1989.0,8.386666666666667,26.366666666666667,,191.10344827586206,
Chandigarh,1990.0,6.829411764705882,11.352941176470589,,225.14705882352942,
Chandigarh,1991.0,9.366666666666667,13.788888888888888,,260.17391304347825,
Chandigarh,1992.0,,,,415.44444444444446,
Chandigarh,1993.0,13.31111111111111,33.18333333333333,,,
Chandigarh,1994.0,6.678571428571429,21.65357142857143,,172.17857142857142,
Chandigarh,1995.0,10.423076923076923,30.746153846153845,,208.07692307692307,
Chandigarh,1996.0,6.941666666666666,18.395833333333332,,175.45833333333334,
Chandigarh,1997.0,6.575,4.754166666666666,,225.83333333333334,
Chandigarh,1998.0,5.25,8.745833333333334,,278.5,
Chandigarh,1999.0,6.5,14.8,,225.33333333333334,
Chandigarh,2000.0,,,,225.33333333333334,
Chandigarh,2001.0,,,,247.08333333333334,
Chandigarh,2002.0,8.004999999999999,9.2,,296.375,
Chandigarh,2004.0,6.128113879003559,30.437722419928825,113.75451263537906,206.76868327402136,
Chandigarh,2005.0,5.194155844155844,15.704867256637167,94.54714285714286,225.7744252873563,
Chandigarh,2006.0,3.9375,14.727079646017698,105.10028248587571,220.85572842998585,
Chandigarh,2007.0,5.3,15.559186535764377,102.216,219.46266666666668,
Chandigarh,2008.0,5.3,15.89756446991404,95.54188481675392,198.07329842931938,
Chandigarh,2009.0,5.8,15.47037037037037,80.83794466403162,162.93139841688654,
Chandigarh,2010.0,2.0053691275167784,15.695710455764075,91.97046979865772,,
Chandigarh,2011.0,2.0136363636363637,15.813049645390072,101.65701881331404,200.7973950795948,
Chandigarh,2012.0,2.0,19.626683291770576,111.1489757914339,,
Chandigarh,2013.0,2.0070588235294116,28.308235294117647,101.44625850340137,,
Chandigarh,2014.0,2.0,21.316438356164383,91.10641200545703,,
Chandigarh,2015.0,2.0,25.430686406460296,85.46702557200538,,
Chhattisgarh,1993.0,9.6,6.3999999999999995,,,
Chhattisgarh,1994.0,8.459999999999999,8.2,,,
Chhattisgarh,1997.0,15.37142857142857,20.87142857142857,,89.42857142857143,
Chhattisgarh,1998.0,15.11111111111111,20.655555555555555,,98.22222222222223,
Chhattisgarh,1999.0,13.38,17.46,,94.4,
Chhattisgarh,2000.0,13.541666666666666,18.333333333333332,,63.333333333333336,
Chhattisgarh,2001.0,12.6125,20.2375,,81.58333333333333,
Chhattisgarh,2002.0,12.657142857142857,19.32857142857143,,93.63636363636364,
Chhattisgarh,2004.0,13.18352272727273,20.099431818181817,158.49689440993788,181.27683615819208,
Chhattisgarh,2005.0,14.657963875205256,26.863676470588235,132.6529411764706,234.46323529411765,
Chhattisgarh,2006.0,15.30338733431517,26.07316753926702,131.26440677966102,215.83074935400518,
Chhattisgarh,2007.0,14.875888324873097,26.071016311166876,118.35516372795969,218.34819277108434,
